
Articulo,Descripcion,Rubro,CON EL 20%
1-244,CANDELA REFLECTOR GRANDES SUPERFICIES LED LUZ FRIA 200W,ELECTRICIDAD,"$ 28,998.05"
1-245,CANDELA REFLECTOR LED LUZ CALIDA 10W,ELECTRICIDAD,"$ 3,937.58"
1-246,CANDELA REFLECTOR LED LUZ CALIDA 20W,ELECTRICIDAD,"$ 4,599.59"
1-247,CANDELA REFLECTOR LED LUZ CALIDA 30W,ELECTRICIDAD,"$ 5,131.40"
1-248,CANDELA REFLECTOR LED LUZ CALIDA 50W,ELECTRICIDAD,"$ 6,967.84"
1-249,CANDELA REFLECTOR LED LUZ FRIA 10W,ELECTRICIDAD,"$ 3,937.58"
1-250,CANDELA REFLECTOR LED LUZ FRIA 20W,ELECTRICIDAD,"$ 4,599.59"
1-251,CANDELA REFLECTOR LED LUZ FRIA 30W,ELECTRICIDAD,"$ 5,131.40"
1-252,CANDELA REFLECTOR LED LUZ FRIA 50W,ELECTRICIDAD,"$ 6,967.84"
1-052,CA O RIGIDO PVC  SEMIPESADO 20 X 3MTS,ELECTRICIDAD,"$ 1,962.08"
1-053,CA O RIGIDO PVC  SEMIPESADO 22 X 3MTS,ELECTRICIDAD,"$ 2,622.05"
1-054,CA O RIGIDO PVC  SEMIPESADO 25 X 3MTS,ELECTRICIDAD,"$ 2,755.82"
5-CAT,CATALIZADOR X 1 LT,PINTURA,"$ 6,998.08"
GOMA 4 B,CAUCHO GOMA X 4 LTS BLANCA,PINTURA,"$ 26,754.49"
2-001,CEMENTO BLANCO 1 KG,FERRETERIA,"$ 1,487.29"
4-009,CEMENTO DE CONTACTO FANA 100 GRS,PEGAMENTO,"$ 2,952.02"
4-010,CEMENTO DE CONTACTO FANA 200 GRS,PEGAMENTO,"$ 4,375.66"
4-011,CEMENTO DE CONTACTO FANA 40 GRS,PEGAMENTO,"$ 2,237.57"
4-012,CEMENTO DE CONTACTO FANA 400 GRS,PEGAMENTO,"$ 7,537.04"
4-013,CEMENTO DE CONTACTO FANA 750 GRS,PEGAMENTO,"$ 12,436.13"
2-002,"CEPILLO CIRCULAR RIZADO P/AMOLADORA DE 4""",FERRETERIA,"$ 3,067.01"
Y-002-CC5,"CEPILLO CIRCULAR RIZADO P/AMOLADORA DE 5""",FERRETERIA,$ 879.47
2-002-1,"CEPILLO CIRCULAR TRENZADO P/AMOLADORA DE 4""",FERRETERIA,"$ 3,067.01"
2-016,"CEPILLO COPA BRONCEADO 3""",FERRETERIA,"$ 2,056.69"
2-025,"CEPILLO COPA BRONCEADO 4""",FERRETERIA,"$ 3,427.65"
2-018-T,CEPILLO COPA TRENZADO 3 ,FERRETERIA,"$ 2,254.53"
2-017,"CEPILLO COPA TRENZADO 4""",FERRETERIA,"$ 3,136.76"
2-003,"CEPILLO DE BRONCE CON MANGO 9""",FERRETERIA,"$ 1,136.53"
2-028,CEPILLO DE METAL MANGO DE MADERA,FERRETERIA,"$ 1,808.82"
10-040-CER,CERA ABRILLANTADORA X 410 CM3,FERRETERIA,"$ 4,035.89"
GOMA 4 G,CHAUCHO GOMA X 4 L GRIS,PINTURA,"$ 23,384.57"
2-029,CHOCLA CON TIZA Y NIVEL,FERRETERIA,"$ 3,230.45"
2-800-ANT,CINTA ANTIDESLIZANTE X 5 MT,FERRETERIA,"$ 2,050.75"
5-062,CINTA DE ENMASCARAR 12 MM X 40 M,PINTURA,"$ 1,167.89"
5-063,CINTA DE ENMASCARAR 18 MM X 40 M,PINTURA,"$ 1,748.97"
5-064,CINTA DE ENMASCARAR 24 MM X 40 M,PINTURA,"$ 2,335.80"
5-065,CINTA DE ENMASCARAR 36 MM X 40 M,PINTURA,"$ 3,498.92"
5-066,CINTA DE ENMASCARAR 48 MM X 40 M,PINTURA,"$ 4,666.81"
5-067,CINTA DE ENMASCARAR CANDELA 18 MM,PINTURA,"$ 1,748.97"
